
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7C:57:3C:06:41:10, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -74,        1,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:11, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, OPN, ,   , -73,        1,        0,   0.  0.  0.  0,   4, XAMK, 
7C:57:3C:06:41:12, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:13, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -74,        1,        0,   0.  0.  0.  0,   7, eduroam, 
7C:57:3C:06:41:14, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -73,        1,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:15, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:16, 2021-03-18 12:32:24, 2021-03-18 12:32:24, 132, 720, WPA2, CCMP, MGT, -73,        1,        0,   0.  0.  0.  0,   0, , 
64:12:25:7C:67:A0, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, PSK, -50,        3,        0,   0.  0.  0.  0,  10, ICTLAB_IOT, 
64:12:25:7C:67:A4, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, MGT, -50,        3,        0,   0.  0.  0.  0,  15, ICTLAB-NG Staff, 
7C:57:3C:06:41:01, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, OPN, ,   , -63,        3,        0,   0.  0.  0.  0,   4, XAMK, 
7C:57:3C:06:41:02, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, PSK, -64,        3,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:03, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, MGT, -64,        3,        0,   0.  0.  0.  0,   7, eduroam, 
7C:57:3C:06:41:04, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, MGT, -63,        3,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:05, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, PSK, -64,        3,        0,   0.  0.  0.  0,   0, , 
7C:57:3C:06:41:06, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, MGT, -64,        3,        0,   0.  0.  0.  0,   0, , 
64:12:25:7C:67:A1, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, PSK, -50,        3,        0,   0.  0.  0.  0,  12, ICTLAB GUEST, 
64:12:25:7C:67:A3, 2021-03-18 12:32:24, 2021-03-18 12:32:24,  1,  54, WPA2, CCMP, MGT, -50,        3,        0,   0.  0.  0.  0,  17, ICTLAB-NG Student, 
7C:57:3C:06:41:00, 2021-03-18 12:32:24, 2021-03-18 12:32:27,  1,  54, WPA2, CCMP, MGT, -65,        2,        0,   0.  0.  0.  0,   0, , 
86:BE:D4:5B:D7:28, 2021-03-18 12:32:26, 2021-03-18 12:32:27, 11, 360, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,   9, AndroidAP, 
64:12:25:91:73:30, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, PSK, -76,        3,        0,   0.  0.  0.  0,  10, ICTLAB_IOT, 
64:12:25:93:29:C1, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, PSK, -66,        3,        0,   0.  0.  0.  0,  12, ICTLAB GUEST, 
64:12:25:91:73:34, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, MGT, -75,        2,        0,   0.  0.  0.  0,  15, ICTLAB-NG Staff, 
64:12:25:91:73:31, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, PSK, -76,        2,        0,   0.  0.  0.  0,  12, ICTLAB GUEST, 
64:12:25:93:29:C0, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, PSK, -66,        2,        0,   0.  0.  0.  0,  10, ICTLAB_IOT, 
64:12:25:93:29:C4, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, MGT, -66,        2,        0,   0.  0.  0.  0,  15, ICTLAB-NG Staff, 
64:12:25:91:73:33, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, MGT, -75,        2,        0,   0.  0.  0.  0,  17, ICTLAB-NG Student, 
64:12:25:93:29:C3, 2021-03-18 12:32:27, 2021-03-18 12:32:27, 11,  54, WPA2, CCMP, MGT, -66,        2,        0,   0.  0.  0.  0,  17, ICTLAB-NG Student, 
80:8D:B7:DF:A9:C0, 2021-03-18 12:32:28, 2021-03-18 12:32:28,  6,  54, WPA2, CCMP, MGT, -79,        1,        0,   0.  0.  0.  0,   0, , 
80:8D:B7:DF:A9:C1, 2021-03-18 12:32:28, 2021-03-18 12:32:28,  6,  54, OPN, ,   , -78,        1,        0,   0.  0.  0.  0,   4, XAMK, 
80:8D:B7:DF:A9:C2, 2021-03-18 12:32:28, 2021-03-18 12:32:28,  6,  54, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,   0, , 
80:8D:B7:DF:A9:C3, 2021-03-18 12:32:28, 2021-03-18 12:32:28,  6,  54, WPA2, CCMP, MGT, -78,        1,        0,   0.  0.  0.  0,   7, eduroam, 
80:8D:B7:DF:A9:C4, 2021-03-18 12:32:28, 2021-03-18 12:32:28,  6,  54, WPA2, CCMP, MGT, -78,        1,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs

